record_id,产品品名,产地（国家）,产地（市）,产地（省）,单混,品名,品类一级,品类二级,商品链接,序号,序号1,序号2,序号3,标签照片,正常售价,正面图片,规格,采集平台,采集时间,优惠到手价,口味,委托方,生产商,背面图片,外包装图片,箱规,赠品图片,备注
recfxckRqV,optJTWlv0H,马来西亚,,,单,茱蒂丝花生酱夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/7ff8WYtmAJgP6Gl,DRF-,DRF,,,,13.9,image.png,135g,大润发,1752156078000,9.73,花生味,,,image.png,,,,
reckK0ABEr,optaRUzbUz,中国,上海,上海,单,小辣椒牛肉干,休闲零食,肉干小食,,DRF-,DRF,,,,35.8,image.png,100g,大润发,1752156078000,,沙爹味/香辣味,,上海海湾食品有限公司,image.png,,,,
recr34JeBP,optM8M1KWg,,,,单,奥利奥奶酪味夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/DrhCmofL7f9iSjv,DRF-,DRF,,,image.png,9.9,image.png,194g,大润发,1752156078000,8.65,奶酪味,,,,,,,
reczZTtHCL,optEnGi80R,中国,綦江区,重庆,单,老四川牛肉粒,休闲零食,肉干小食,,DRF-,DRF,,,image.png,19.8,image.png,200g,大润发,1752156078000,,五香味,,重庆金星股份有限公司,image.png,,,,
recOC8o17P,opt0KyXutO,中国,马鞍山,安徽,单,悠之优味牛古板牛肚,休闲零食,肉干小食,,DRF-,DRF,,,,9.9,image.png,48g,大润发,1752156078000,,孜香味,安徽悠之优味食品有限公司,安徽悠之优味食品有限公司,image.png,,,,
recGIVEvIz,optIHxigkp,,,,单,乐之夹心可酥饼缤纷口味分享装,休闲零食,饼干曲奇,#小程序://大润发优鲜/A63rIUXd2ajUVNw,DRF-,DRF,,,,28.5,image.png,402g,大润发,1752156078000,28.5,双重芝士味*4+柠檬巴斯克味*4+咸蛋黄乳酪味*4,,,,,12包/盒,,
reclMbeZ8a,optLJj4Fec,中国,马鞍山,安徽,单,悠之优味牛古板牛板筋,休闲零食,肉干小食,,DRF-,DRF,,,,9.9,image.png,48g,大润发,1752156078000,,烧烤味,安徽悠之优味食品有限公司,安徽悠之优味食品有限公司,image.png,,,,
recP1GuBgU,optIURmpe1,中国,马鞍山,安徽,单,悠之优味牛古板火锅牛百叶,休闲零食,肉干小食,,DRF-,DRF,,,,9.9,image.png,48g,大润发,1752156078000,,麻辣味,安徽悠之优味食品有限公司,安徽悠之优味食品有限公司,image.png,,,,
recIftGe8L,optCy4uEpt,日本,,,单,格力高必思可益生菌夹心饼干,休闲零食,饼干曲奇,#小程序://大润发优鲜/MTEZIiwH1Pre1tF,DRF-,DRF,,,,7.9,image.png,60g,大润发,1752156078000,6.9,草莓味,上海江崎格力高食品有限公司,,image.png,,,,
recuvHQXhK,opt0irwBBN,中国,香港,香港,单,朱古力牛奶饮品,酒水饮料,果汁/植物饮,,SM-,SM,,,维他朱古力奶1-标.jpg,89.8,维他朱古力奶1-正.jpg,250ml,山姆APP,1752156078000,,,,维他奶国际集团有限公司,,维他朱古力奶1-外.jpg,250ml*24,,
